id,title,price,main_photo
001,"Recoleta + Cochera + 3 Ambientes",$ 800,https://www.bullano.com.ar/files/03-2026/ad17332/oUTXzKXzwcdQ.webp
002,"Departamento En Venta En Parque Avellaneda  Caba  ",$ 59.000,https://www.bullano.com.ar/files/06-2026/ad17686/XwESVWClnfVw.webp
003,"Terra078",$ 44.50030,https://www.bullano.com.ar/files/08-2026/ad18474/BCBRBCmlaJni.webp
004,"Depto 3 Ambientes A Cuadras De Subte B Y Parque Ce",$ 950.000,https://www.bullano.com.ar/files/08-2026/ad18471/QqeIkbMxwSrp.webp
005,"Dueo Directo Alquiler Depto. Caseros Centro - 7 Pi",$ 630.000,https://www.bullano.com.ar/files/08-2026/ad18470/XHJvCrdtfsyh.webp
006,"Departamento Semipiso En Alquiler En Belgrano  Cab",$ 1.400.000,https://www.bullano.com.ar/files/08-2026/ad18469/rPyBTxnKPXsD.webp
007,"Viv  Trabaja O Invert En Una Ubicacin Estratgica!",$ 900.007,https://www.bullano.com.ar/files/08-2026/ad18464/hnuAROFZvKsM.webp
008,"Departamento en venta  Mar del Plata",$ 625.005,https://www.bullano.com.ar/files/08-2026/ad18463/dZAjzvvjeAMj.webp
009,"Venta Monoambiente En Boedo",$ 100.000,https://www.bullano.com.ar/files/06-2026/ad18170/NwcZqIYjpnZA.webp
010,"Departamento En Venta En Balvanera  Caba  3 Dormit",$ 100.000,https://www.bullano.com.ar/files/06-2026/ad18169/sCQNmjMZTYdS.webp
011,"Departamento En Alquiler En Crdoba  2 Dormitorios ",$650.000,https://www.bullano.com.ar/files/06-2026/ad18165/MmtfzWdsgmla.webp
012,"Departamento En Alquiler En Caballito  Caba  1 Amb",$690.000,https://www.bullano.com.ar/files/06-2026/ad18162/EooRorbZxQTs.webp
013,"Departamento En Alquiler En San Isidro  Buenos Air",$750.000,https://www.bullano.com.ar/files/06-2026/ad18158/NMjlKeNymRyX.webp
014,"Departamento En Venta En Canasvieiras  Florianpoli",$ 5.950.023,https://www.bullano.com.ar/files/06-2026/ad18153/YggKBzAcIdtx.webp
015,"Departamento En Venta En Santinho  Florianpolis  C",$ 2.450.016.612,https://www.bullano.com.ar/files/06-2026/ad18152/BQsuvOniskSq.webp
016,"Departamento En Alquiler En Virreyes  San Fernando",$550.000,https://www.bullano.com.ar/files/06-2026/ad18150/APuSHbabhgxo.webp
017,"Departamento En Venta En Playa Varese  Mar Del Pla",$ 100.000,https://www.bullano.com.ar/files/06-2026/ad18145/CVHfvCaFYvRJ.webp
018,"Departamento Dplex En Venta En San Miguel De Tucum",$ 75.000144,https://www.bullano.com.ar/files/08-2026/ad18446/PhItpNucPzIz.webp
019,"Departamento En Venta En Flores  Caba  3 Ambientes",$ 100.000,https://www.bullano.com.ar/files/06-2026/ad18144/kswENihaAIkq.webp
020,"Departamento En Alquiler En Villa Urquiza  Caba  2",$600.000,https://www.bullano.com.ar/files/06-2026/ad18142/cKCFoyriZWPr.webp
021,"Departamento En Alquiler En Rosario  Santa Fe  Mon",$250.000,https://www.bullano.com.ar/files/06-2026/ad18138/snkQkTEOWABF.webp
022,"Departamento En Alquiler En Balvanera  Caba  1 Amb",$480.000,https://www.bullano.com.ar/files/06-2026/ad18130/MVtxJZSpktKi.webp
023,"Departamento En Alquiler En Quilmes  Buenos Aires ",$800.000,https://www.bullano.com.ar/files/06-2026/ad18127/cprslmfQTuJM.webp
024,"Semipiso 2 Ambientes Al Contrafrente - Luminoso Co",$ 100.000,https://www.bullano.com.ar/files/06-2026/ad18109/BLENfUdqVJmq.webp
025,"Departamento En Venta En Villa Carlos Paz  Crdoba ",$ 1.200.011,https://www.bullano.com.ar/files/06-2026/ad18102/sIcQkWPXsCeX.webp
026,"Departamento En Venta En Ro Cuarto  Crdoba  1 Dorm",$ 50.000,https://www.bullano.com.ar/files/06-2026/ad18097/BtChYKkuBdbd.webp
027,"Departamento En Venta En Almagro  Caba  3 Ambiente",$ 100.000,https://www.bullano.com.ar/files/06-2026/ad18078/SjAQsVOJXBcd.webp
028,"Departamento En Venta En Villa Santa Cruz Del Lago",$ 18.750.025,https://www.bullano.com.ar/files/06-2026/ad18061/PcOKOsMsSgga.webp
029,"Departamento Semipiso En Alquiler En Mar Del Plata",$ 990.000,https://www.bullano.com.ar/files/08-2026/ad18445/lcJQXGsRUhzk.webp
030,"Departamento En Alquiler En Mar Del Plata  3 Dormi",$ 825.012,https://www.bullano.com.ar/files/06-2026/ad18054/QJEGNcbcbnzO.webp
031,"Departamento En Alquiler En Merlo  Buenos Aires  2",$450.000,https://www.bullano.com.ar/files/06-2026/ad18044/TJjmVJYikvOC.webp
032,"Departamento En Alquiler En Padua  Merlo  1 Ambien",$350.000,https://www.bullano.com.ar/files/06-2026/ad18042/NGUKWOyFYWal.webp
033,"Departamento En Venta En Retiro  Caba  Monoambient",$ 100.000,https://www.bullano.com.ar/files/06-2026/ad18041/qLDirvEVudzf.webp
034,"Venta Departamento Con Balcn Y Cochera En Caballit",$ 100.000,https://www.bullano.com.ar/files/06-2026/ad18038/XuAazzNsXPBz.webp
035,"Departamento En Venta En Ro Cuarto  Crdoba  2 Dorm",$ 100.000,https://www.bullano.com.ar/files/06-2026/ad18037/AjegGnVuGsND.webp
036,"Venta Departamento Con Balcn En Caballito",$ 100.000,https://www.bullano.com.ar/files/06-2026/ad18035/SAVqkSVTeUKt.webp
037,"Departamento En Venta En Santinho  Florianpolis  2",$ 3.150.018,https://www.bullano.com.ar/files/05-2026/ad18028/LHllnMgedjuB.webp
038,"Departamento En Venta En Playa Ingleses  Florianpo",$ 2.150.021,https://www.bullano.com.ar/files/05-2026/ad18027/zMJSjweXGnyq.webp
039,"Dueo Directo",$ 185.000,https://www.bullano.com.ar/files/08-2026/ad18444/juQIGxqiioUw.webp
040,"Departamento En Venta En Playa Ingleses  Florianpo",$ 65.000.055,https://www.bullano.com.ar/files/05-2026/ad18019/pJICWebHQCLx.webp
041,"Departamento En Venta En Flores  Caba  3 Ambientes",$ 100.000,https://www.bullano.com.ar/files/05-2026/ad17992/oWrRwQRtKkiR.webp
